batch_size,B,pld_epsilon,rdp_epsilon
512,4,0.799236,1.04692
512,8,0.679053,1.04734
512,16,0.603623,1.04823
512,32,0.572023,1.05018
512,64,0.553294,1.0555
512,128,0.56441,1.09446
512,256,0.603402,1.18609
512,512,0.706706,1.46981
512,1024,1.28122,2.95114
512,2048,5.40296,8.32301
1028,4,1.07476,1.25883
1028,8,0.935587,1.26036
1028,16,0.807649,1.26373
1028,32,0.80209,1.27203
1028,64,0.813558,1.29984
1028,128,0.840143,1.38381
1028,256,0.902001,1.50635
1028,512,1.0716,1.80758
1028,1024,1.90205,3.14915
1028,2048,6.46249,12.8201
4096,4,1.82399,2.36999
4096,8,1.81617,2.37566
4096,16,1.80246,2.3874
4096,32,1.81285,2.41258
4096,64,1.84162,2.47155
4096,128,1.90785,2.58522
4096,256,2.0611,2.7832
4096,512,2.46074,3.36588
4096,1024,3.84413,5.26552
4096,2048,9.9243,13.9903
600000,4,20.2963,21.5897
600000,8,20.2442,21.6206
600000,16,20.1518,21.6825
600000,32,20.2159,21.8074
600000,64,20.3957,22.0614
600000,128,20.7998,22.5864
600000,256,21.6742,23.7098
600000,512,23.6222,25.933
600000,1024,28.3403,30.2284
600000,2048,40.9191,44.1259
